Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Search,Chrome 69.0.3497.100,,2018-10-19 10:39:21,2018-10-19 10:40:02,"41,131s",FAILED
,,,,,,
Test Cases/TC1,Chrome 69.0.3497.100,,2018-10-19 10:39:23,2018-10-19 10:39:46,"23,564s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 10:39:24,2018-10-19 10:39:33,"9,064s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 10:39:33,2018-10-19 10:39:34,"1,296s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 10:39:34,2018-10-19 10:39:39,"4,960s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 10:39:39,2018-10-19 10:39:39,"0,511s",PASSED
click,Chrome 69.0.3497.100,,2018-10-19 10:39:39,2018-10-19 10:39:44,"4,054s",PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-19 10:39:44,2018-10-19 10:39:45,"1,487s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-19 10:39:45,2018-10-19 10:39:46,"1,130s",PASSED
,,,,,,
Test Cases/TC1 Negative,Chrome 69.0.3497.100,,2018-10-19 10:39:46,2018-10-19 10:40:02,"15,347s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 10:39:47,2018-10-19 10:39:51,"4,845s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 10:39:51,2018-10-19 10:39:53,"1,344s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 10:39:53,2018-10-19 10:39:56,"3,246s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 10:39:56,2018-10-19 10:39:56,"0,530s",PASSED
click,Chrome 69.0.3497.100,,2018-10-19 10:39:56,2018-10-19 10:40:00,"3,517s",PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-19 10:40:00,2018-10-19 10:40:02,"1,528s",FAILED
