Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Search,Chrome 69.0.3497.100,,2018-10-22 10:46:56,2018-10-22 10:48:01,"1m - 4,361s",PASSED
,,,,,,
Test Cases/TC1,Chrome 69.0.3497.100,,2018-10-22 10:46:57,2018-10-22 10:47:13,"16,533s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-22 10:46:57,2018-10-22 10:47:03,"6,063s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-22 10:47:03,2018-10-22 10:47:05,"1,249s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-22 10:47:05,2018-10-22 10:47:08,"3,166s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-22 10:47:08,2018-10-22 10:47:08,"0,573s",PASSED
click,Chrome 69.0.3497.100,,2018-10-22 10:47:08,2018-10-22 10:47:12,"3,294s",PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-22 10:47:12,2018-10-22 10:47:13,"0,921s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-22 10:47:13,2018-10-22 10:47:13,"0,779s",PASSED
,,,,,,
Test Cases/TC1,Chrome 69.0.3497.100,,2018-10-22 10:47:13,2018-10-22 10:47:25,"11,748s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-22 10:47:13,2018-10-22 10:47:17,"3,883s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-22 10:47:17,2018-10-22 10:47:18,"1,155s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-22 10:47:18,2018-10-22 10:47:22,"3,767s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-22 10:47:22,2018-10-22 10:47:23,"0,353s",PASSED
click,Chrome 69.0.3497.100,,2018-10-22 10:47:23,2018-10-22 10:47:24,"1,605s",PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-22 10:47:24,2018-10-22 10:47:24,"0,182s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-22 10:47:24,2018-10-22 10:47:25,"0,735s",PASSED
,,,,,,
Test Cases/TC1,Chrome 69.0.3497.100,,2018-10-22 10:47:25,2018-10-22 10:47:37,"11,884s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-22 10:47:25,2018-10-22 10:47:29,"3,834s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-22 10:47:29,2018-10-22 10:47:30,"1,144s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-22 10:47:30,2018-10-22 10:47:33,"3,204s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-22 10:47:33,2018-10-22 10:47:34,"0,274s",PASSED
click,Chrome 69.0.3497.100,,2018-10-22 10:47:34,2018-10-22 10:47:36,"2,290s",PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-22 10:47:36,2018-10-22 10:47:36,"0,303s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-22 10:47:36,2018-10-22 10:47:37,"0,780s",PASSED
,,,,,,
Test Cases/TC1,Chrome 69.0.3497.100,,2018-10-22 10:47:37,2018-10-22 10:47:48,"11,122s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-22 10:47:37,2018-10-22 10:47:41,"3,910s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-22 10:47:41,2018-10-22 10:47:42,"1,190s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-22 10:47:42,2018-10-22 10:47:45,"3,226s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-22 10:47:45,2018-10-22 10:47:46,"0,262s",PASSED
click,Chrome 69.0.3497.100,,2018-10-22 10:47:46,2018-10-22 10:47:47,"1,564s",PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-22 10:47:47,2018-10-22 10:47:47,"0,190s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-22 10:47:47,2018-10-22 10:47:48,"0,723s",PASSED
,,,,,,
Test Cases/TC1,Chrome 69.0.3497.100,,2018-10-22 10:47:48,2018-10-22 10:48:00,"12,169s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-22 10:47:48,2018-10-22 10:47:52,"3,900s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-22 10:47:52,2018-10-22 10:47:53,"1,168s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-22 10:47:53,2018-10-22 10:47:57,"3,556s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-22 10:47:57,2018-10-22 10:47:57,"0,371s",PASSED
click,Chrome 69.0.3497.100,,2018-10-22 10:47:57,2018-10-22 10:47:59,"2,255s",PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-22 10:47:59,2018-10-22 10:48:00,"0,153s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-22 10:48:00,2018-10-22 10:48:00,"0,721s",PASSED
