Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Search,Chrome 69.0.3497.100,,2018-10-19 10:28:45,2018-10-19 10:29:19,"34,450s",FAILED
,,,,,,
Test Cases/TC1,Chrome 69.0.3497.100,,2018-10-19 10:28:46,2018-10-19 10:29:04,"18,499s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 10:28:47,2018-10-19 10:28:56,"9,003s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 10:28:56,2018-10-19 10:28:57,"1,542s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 10:28:57,2018-10-19 10:29:01,"4,049s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 10:29:01,2018-10-19 10:29:02,"0,858s",PASSED
click,Chrome 69.0.3497.100,,2018-10-19 10:29:02,2018-10-19 10:29:03,"1,092s",PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-19 10:29:03,2018-10-19 10:29:03,"0,218s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-19 10:29:03,2018-10-19 10:29:04,"0,807s",PASSED
,,,,,,
Test Cases/TC1 Negative,Chrome 69.0.3497.100,,2018-10-19 10:29:04,2018-10-19 10:29:18,"13,960s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 10:29:05,2018-10-19 10:29:10,"5,739s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 10:29:10,2018-10-19 10:29:12,"1,221s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 10:29:12,2018-10-19 10:29:15,"3,671s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 10:29:15,2018-10-19 10:29:16,"0,562s",PASSED
click,Chrome 69.0.3497.100,,2018-10-19 10:29:16,2018-10-19 10:29:17,"1,385s",PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-19 10:29:17,2018-10-19 10:29:18,"0,991s",FAILED
