Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Search,Chrome 69.0.3497.100,,2018-10-19 10:15:35,2018-10-19 10:15:51,"15,628s",PASSED
,,,,,,
Test Cases/TC1,Chrome 69.0.3497.100,,2018-10-19 10:15:36,2018-10-19 10:15:51,"14,597s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 10:15:37,2018-10-19 10:15:43,"6,210s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 10:15:43,2018-10-19 10:15:44,"1,216s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 10:15:44,2018-10-19 10:15:48,"3,559s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 10:15:48,2018-10-19 10:15:48,"0,544s",PASSED
click,Chrome 69.0.3497.100,,2018-10-19 10:15:48,2018-10-19 10:15:50,"1,561s",PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-19 10:15:50,2018-10-19 10:15:50,"0,215s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-19 10:15:50,2018-10-19 10:15:51,"0,855s",PASSED
