Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Search,Chrome 69.0.3497.100,,2018-10-19 14:05:36,2018-10-19 14:06:52,"1m - 15,108s",FAILED
,,,,,,
Test Cases/TC1,Chrome 69.0.3497.100,,2018-10-19 14:05:37,2018-10-19 14:05:52,"15,281s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 14:05:37,2018-10-19 14:05:43,"5,429s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 14:05:43,2018-10-19 14:05:44,"1,157s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 14:05:44,2018-10-19 14:05:47,"3,524s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 14:05:47,2018-10-19 14:05:48,"0,474s",PASSED
click,Chrome 69.0.3497.100,,2018-10-19 14:05:48,2018-10-19 14:05:51,"2,904s",PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-19 14:05:51,2018-10-19 14:05:51,"0,608s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-19 14:05:51,2018-10-19 14:05:52,"0,804s",PASSED
,,,,,,
Test Cases/TC1,Chrome 69.0.3497.100,,2018-10-19 14:05:52,2018-10-19 14:06:06,"13,937s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 14:05:52,2018-10-19 14:05:56,"3,914s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 14:05:56,2018-10-19 14:05:57,"1,141s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 14:05:57,2018-10-19 14:06:00,"3,057s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 14:06:00,2018-10-19 14:06:01,"0,324s",PASSED
click,Chrome 69.0.3497.100,,2018-10-19 14:06:01,2018-10-19 14:06:05,"3,939s",PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-19 14:06:05,2018-10-19 14:06:05,"0,721s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-19 14:06:05,2018-10-19 14:06:06,"0,803s",PASSED
,,,,,,
Test Cases/TC1,Chrome 69.0.3497.100,,2018-10-19 14:06:06,2018-10-19 14:06:17,"11,426s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 14:06:06,2018-10-19 14:06:10,"3,940s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 14:06:10,2018-10-19 14:06:11,"1,125s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 14:06:11,2018-10-19 14:06:14,"2,957s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 14:06:14,2018-10-19 14:06:14,"0,308s",PASSED
click,Chrome 69.0.3497.100,,2018-10-19 14:06:14,2018-10-19 14:06:16,"1,979s",PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-19 14:06:16,2018-10-19 14:06:17,"0,291s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-19 14:06:17,2018-10-19 14:06:17,"0,818s",PASSED
,,,,,,
Test Cases/TC1,Chrome 69.0.3497.100,,2018-10-19 14:06:17,2018-10-19 14:06:28,"10,836s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 14:06:18,2018-10-19 14:06:21,"3,962s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 14:06:21,2018-10-19 14:06:23,"1,138s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 14:06:23,2018-10-19 14:06:26,"3,066s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 14:06:26,2018-10-19 14:06:26,"0,288s",PASSED
click,Chrome 69.0.3497.100,,2018-10-19 14:06:26,2018-10-19 14:06:27,"1,346s",PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-19 14:06:27,2018-10-19 14:06:28,"0,221s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-19 14:06:28,2018-10-19 14:06:28,"0,796s",PASSED
,,,,,,
Test Cases/TC1,Chrome 69.0.3497.100,,2018-10-19 14:06:28,2018-10-19 14:06:40,"11,328s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 14:06:28,2018-10-19 14:06:32,"3,895s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 14:06:32,2018-10-19 14:06:33,"1,137s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 14:06:33,2018-10-19 14:06:37,"3,183s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 14:06:37,2018-10-19 14:06:37,"0,361s",PASSED
click,Chrome 69.0.3497.100,,2018-10-19 14:06:37,2018-10-19 14:06:39,"1,734s",PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-19 14:06:39,2018-10-19 14:06:39,"0,199s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-19 14:06:39,2018-10-19 14:06:40,"0,784s",PASSED
,,,,,,
Test Cases/TC1 Negative,Chrome 69.0.3497.100,,2018-10-19 14:06:40,2018-10-19 14:06:51,"10,989s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 14:06:40,2018-10-19 14:06:44,"3,937s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 14:06:44,2018-10-19 14:06:45,"1,149s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 14:06:45,2018-10-19 14:06:48,"3,349s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 14:06:48,2018-10-19 14:06:49,"0,434s",PASSED
click,Chrome 69.0.3497.100,,2018-10-19 14:06:49,2018-10-19 14:06:50,"1,391s",PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-19 14:06:50,2018-10-19 14:06:51,"0,546s",FAILED
