Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Search,Firefox 61.0,,2018-10-19 10:25:43,2018-10-19 10:26:33,"49,306s",PASSED
,,,,,,
Test Cases/TC1,Firefox 61.0,,2018-10-19 10:25:44,2018-10-19 10:26:10,"26,365s",PASSED
openBrowser,Firefox 61.0,,2018-10-19 10:25:44,2018-10-19 10:25:55,"10,508s",PASSED
maximizeWindow,Firefox 61.0,,2018-10-19 10:25:55,2018-10-19 10:25:59,"3,564s",PASSED
navigateToUrl,Firefox 61.0,,2018-10-19 10:25:59,2018-10-19 10:26:04,"5,057s",PASSED
setText,Firefox 61.0,,2018-10-19 10:26:04,2018-10-19 10:26:04,"0,224s",PASSED
click,Firefox 61.0,,2018-10-19 10:26:04,2018-10-19 10:26:08,"3,935s",PASSED
verifyTextPresent,Firefox 61.0,,2018-10-19 10:26:08,2018-10-19 10:26:10,"2,136s",PASSED
closeBrowser,Firefox 61.0,,2018-10-19 10:26:10,2018-10-19 10:26:10,"0,452s",PASSED
,,,,,,
Test Cases/TC1 Negative,Firefox 61.0,,2018-10-19 10:26:10,2018-10-19 10:26:33,"22,353s",PASSED
openBrowser,Firefox 61.0,,2018-10-19 10:26:11,2018-10-19 10:26:17,"6,905s",PASSED
maximizeWindow,Firefox 61.0,,2018-10-19 10:26:17,2018-10-19 10:26:21,"3,524s",PASSED
navigateToUrl,Firefox 61.0,,2018-10-19 10:26:21,2018-10-19 10:26:26,"4,762s",PASSED
setText,Firefox 61.0,,2018-10-19 10:26:26,2018-10-19 10:26:26,"0,163s",PASSED
click,Firefox 61.0,,2018-10-19 10:26:26,2018-10-19 10:26:30,"4,327s",PASSED
verifyTextPresent,Firefox 61.0,,2018-10-19 10:26:30,2018-10-19 10:26:32,"2,069s",PASSED
closeBrowser,Firefox 61.0,,2018-10-19 10:26:32,2018-10-19 10:26:33,"0,431s",PASSED
