Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Search,Chrome 69.0.3497.100,,2018-10-19 10:24:47,2018-10-19 10:25:18,"31,424s",PASSED
,,,,,,
Test Cases/TC1,Chrome 69.0.3497.100,,2018-10-19 10:24:47,2018-10-19 10:25:04,"16,643s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 10:24:48,2018-10-19 10:24:54,"6,368s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 10:24:54,2018-10-19 10:24:55,"1,229s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 10:24:55,2018-10-19 10:24:59,"3,410s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 10:24:59,2018-10-19 10:24:59,"0,505s",PASSED
click,Chrome 69.0.3497.100,,2018-10-19 10:24:59,2018-10-19 10:25:02,"3,021s",PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-19 10:25:02,2018-10-19 10:25:03,"0,608s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-19 10:25:03,2018-10-19 10:25:04,"0,877s",PASSED
,,,,,,
Test Cases/TC1 Negative,Chrome 69.0.3497.100,,2018-10-19 10:25:04,2018-10-19 10:25:18,"14,085s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 10:25:04,2018-10-19 10:25:08,"3,991s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 10:25:08,2018-10-19 10:25:09,"1,139s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 10:25:09,2018-10-19 10:25:13,"3,467s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 10:25:13,2018-10-19 10:25:13,"0,342s",PASSED
click,Chrome 69.0.3497.100,,2018-10-19 10:25:13,2018-10-19 10:25:16,"3,421s",PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-19 10:25:16,2018-10-19 10:25:17,"0,595s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-19 10:25:17,2018-10-19 10:25:18,"0,853s",PASSED
