Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Search,Chrome 69.0.3497.100,,2018-10-19 14:07:52,2018-10-19 14:08:56,"1m - 3,543s",PASSED
,,,,,,
Test Cases/TC1,Chrome 69.0.3497.100,,2018-10-19 14:07:53,2018-10-19 14:08:07,"14,695s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 14:07:53,2018-10-19 14:07:58,"5,354s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 14:07:58,2018-10-19 14:08:00,"1,156s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 14:08:00,2018-10-19 14:08:03,"3,241s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 14:08:03,2018-10-19 14:08:03,"0,420s",PASSED
click,Chrome 69.0.3497.100,,2018-10-19 14:08:03,2018-10-19 14:08:06,"2,826s",PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-19 14:08:06,2018-10-19 14:08:07,"0,516s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-19 14:08:07,2018-10-19 14:08:07,"0,803s",PASSED
,,,,,,
Test Cases/TC1,Chrome 69.0.3497.100,,2018-10-19 14:08:07,2018-10-19 14:08:18,"10,981s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 14:08:07,2018-10-19 14:08:11,"3,979s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 14:08:11,2018-10-19 14:08:13,"1,146s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 14:08:13,2018-10-19 14:08:16,"3,068s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 14:08:16,2018-10-19 14:08:16,"0,405s",PASSED
click,Chrome 69.0.3497.100,,2018-10-19 14:08:16,2018-10-19 14:08:17,"1,365s",PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-19 14:08:17,2018-10-19 14:08:18,"0,206s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-19 14:08:18,2018-10-19 14:08:18,"0,771s",PASSED
,,,,,,
Test Cases/TC1,Chrome 69.0.3497.100,,2018-10-19 14:08:18,2018-10-19 14:08:30,"11,541s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 14:08:18,2018-10-19 14:08:22,"3,949s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 14:08:22,2018-10-19 14:08:24,"1,142s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 14:08:24,2018-10-19 14:08:27,"3,003s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 14:08:27,2018-10-19 14:08:27,"0,405s",PASSED
click,Chrome 69.0.3497.100,,2018-10-19 14:08:27,2018-10-19 14:08:29,"1,865s",PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-19 14:08:29,2018-10-19 14:08:29,"0,298s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-19 14:08:29,2018-10-19 14:08:30,"0,839s",PASSED
,,,,,,
Test Cases/TC1,Chrome 69.0.3497.100,,2018-10-19 14:08:30,2018-10-19 14:08:45,"14,706s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 14:08:30,2018-10-19 14:08:34,"3,901s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 14:08:34,2018-10-19 14:08:35,"1,126s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 14:08:35,2018-10-19 14:08:38,"3,031s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 14:08:38,2018-10-19 14:08:38,"0,314s",PASSED
click,Chrome 69.0.3497.100,,2018-10-19 14:08:38,2018-10-19 14:08:43,"4,646s",PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-19 14:08:43,2018-10-19 14:08:44,"0,849s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-19 14:08:44,2018-10-19 14:08:45,"0,821s",PASSED
,,,,,,
Test Cases/TC1,Chrome 69.0.3497.100,,2018-10-19 14:08:45,2018-10-19 14:08:56,"11,171s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 14:08:45,2018-10-19 14:08:49,"4,038s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 14:08:49,2018-10-19 14:08:50,"1,139s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 14:08:50,2018-10-19 14:08:53,"3,076s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 14:08:53,2018-10-19 14:08:53,"0,346s",PASSED
click,Chrome 69.0.3497.100,,2018-10-19 14:08:53,2018-10-19 14:08:55,"1,601s",PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-19 14:08:55,2018-10-19 14:08:55,"0,151s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-19 14:08:55,2018-10-19 14:08:56,"0,799s",PASSED
