Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Search,Chrome 69.0.3497.100,,2018-10-19 13:34:11,2018-10-19 13:35:23,"1m - 11,999s",FAILED
,,,,,,
Test Cases/TC1,Chrome 69.0.3497.100,,2018-10-19 13:34:11,2018-10-19 13:34:23,"12,021s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 13:34:11,2018-10-19 13:34:17,"5,798s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 13:34:17,2018-10-19 13:34:18,"1,204s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 13:34:18,2018-10-19 13:34:22,"3,496s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 13:34:22,2018-10-19 13:34:23,"1,072s",FAILED
,,,,,,
Test Cases/TC1,Chrome 69.0.3497.100,,2018-10-19 13:34:23,2018-10-19 13:34:36,"12,468s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 13:34:23,2018-10-19 13:34:28,"4,941s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 13:34:28,2018-10-19 13:34:29,"1,194s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 13:34:29,2018-10-19 13:34:33,"3,540s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 13:34:33,2018-10-19 13:34:33,"0,344s",PASSED
click,Chrome 69.0.3497.100,,2018-10-19 13:34:33,2018-10-19 13:34:34,"1,414s",PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-19 13:34:34,2018-10-19 13:34:35,"0,194s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-19 13:34:35,2018-10-19 13:34:36,"0,817s",PASSED
,,,,,,
Test Cases/TC1,Chrome 69.0.3497.100,,2018-10-19 13:34:36,2018-10-19 13:34:47,"11,738s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 13:34:36,2018-10-19 13:34:40,"4,133s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 13:34:40,2018-10-19 13:34:41,"1,190s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 13:34:41,2018-10-19 13:34:44,"3,397s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 13:34:44,2018-10-19 13:34:45,"0,356s",PASSED
click,Chrome 69.0.3497.100,,2018-10-19 13:34:45,2018-10-19 13:34:46,"1,485s",PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-19 13:34:46,2018-10-19 13:34:46,"0,228s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-19 13:34:46,2018-10-19 13:34:47,"0,904s",PASSED
,,,,,,
Test Cases/TC1,Chrome 69.0.3497.100,,2018-10-19 13:34:47,2018-10-19 13:34:59,"11,359s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 13:34:47,2018-10-19 13:34:51,"4,044s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 13:34:51,2018-10-19 13:34:53,"1,190s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 13:34:53,2018-10-19 13:34:56,"3,171s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 13:34:56,2018-10-19 13:34:56,"0,354s",PASSED
click,Chrome 69.0.3497.100,,2018-10-19 13:34:56,2018-10-19 13:34:58,"1,460s",PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-19 13:34:58,2018-10-19 13:34:58,"0,206s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-19 13:34:58,2018-10-19 13:34:59,"0,877s",PASSED
,,,,,,
Test Cases/TC1,Chrome 69.0.3497.100,,2018-10-19 13:34:59,2018-10-19 13:35:10,"11,814s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 13:34:59,2018-10-19 13:35:03,"4,100s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 13:35:03,2018-10-19 13:35:04,"1,185s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 13:35:04,2018-10-19 13:35:07,"3,247s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 13:35:07,2018-10-19 13:35:08,"0,520s",PASSED
click,Chrome 69.0.3497.100,,2018-10-19 13:35:08,2018-10-19 13:35:09,"1,685s",PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-19 13:35:09,2018-10-19 13:35:10,"0,208s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-19 13:35:10,2018-10-19 13:35:10,"0,826s",PASSED
,,,,,,
Test Cases/TC1 Negative,Chrome 69.0.3497.100,,2018-10-19 13:35:10,2018-10-19 13:35:22,"11,182s",FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 13:35:11,2018-10-19 13:35:15,"4,052s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 13:35:15,2018-10-19 13:35:16,"1,168s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 13:35:16,2018-10-19 13:35:19,"3,335s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 13:35:19,2018-10-19 13:35:20,"0,408s",PASSED
click,Chrome 69.0.3497.100,,2018-10-19 13:35:20,2018-10-19 13:35:21,"1,398s",PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-19 13:35:21,2018-10-19 13:35:22,"0,596s",FAILED
