Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Search,Chrome 69.0.3497.100,,2018-10-19 14:12:01,2018-10-19 14:13:08,"1m - 6,649s",PASSED
,,,,,,
Test Cases/TC1,Chrome 69.0.3497.100,,2018-10-19 14:12:02,2018-10-19 14:12:17,"15,243s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 14:12:02,2018-10-19 14:12:07,"5,474s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 14:12:07,2018-10-19 14:12:09,"1,164s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 14:12:09,2018-10-19 14:12:12,"3,182s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 14:12:12,2018-10-19 14:12:12,"0,346s",PASSED
click,Chrome 69.0.3497.100,,2018-10-19 14:12:12,2018-10-19 14:12:15,"3,199s",PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-19 14:12:15,2018-10-19 14:12:16,"0,670s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-19 14:12:16,2018-10-19 14:12:17,"0,800s",PASSED
,,,,,,
Test Cases/TC1,Chrome 69.0.3497.100,,2018-10-19 14:12:17,2018-10-19 14:12:28,"10,729s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 14:12:17,2018-10-19 14:12:21,"4,024s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 14:12:21,2018-10-19 14:12:22,"1,129s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 14:12:22,2018-10-19 14:12:25,"3,114s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 14:12:25,2018-10-19 14:12:25,"0,301s",PASSED
click,Chrome 69.0.3497.100,,2018-10-19 14:12:25,2018-10-19 14:12:27,"1,170s",PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-19 14:12:27,2018-10-19 14:12:27,"0,168s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-19 14:12:27,2018-10-19 14:12:28,"0,777s",PASSED
,,,,,,
Test Cases/TC1,Chrome 69.0.3497.100,,2018-10-19 14:12:28,2018-10-19 14:12:42,"14,279s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 14:12:28,2018-10-19 14:12:32,"3,964s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 14:12:32,2018-10-19 14:12:33,"1,139s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 14:12:33,2018-10-19 14:12:39,"6,511s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 14:12:39,2018-10-19 14:12:40,"0,325s",PASSED
click,Chrome 69.0.3497.100,,2018-10-19 14:12:40,2018-10-19 14:12:41,"1,346s",PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-19 14:12:41,2018-10-19 14:12:41,"0,191s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-19 14:12:41,2018-10-19 14:12:42,"0,768s",PASSED
,,,,,,
Test Cases/TC1,Chrome 69.0.3497.100,,2018-10-19 14:12:42,2018-10-19 14:12:57,"14,976s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 14:12:42,2018-10-19 14:12:46,"3,907s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 14:12:46,2018-10-19 14:12:47,"1,142s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 14:12:47,2018-10-19 14:12:50,"3,184s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 14:12:50,2018-10-19 14:12:50,"0,308s",PASSED
click,Chrome 69.0.3497.100,,2018-10-19 14:12:50,2018-10-19 14:12:55,"4,631s",PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-19 14:12:55,2018-10-19 14:12:56,"0,916s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-19 14:12:56,2018-10-19 14:12:57,"0,866s",PASSED
,,,,,,
Test Cases/TC1,Chrome 69.0.3497.100,,2018-10-19 14:12:57,2018-10-19 14:13:08,"10,931s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 14:12:57,2018-10-19 14:13:01,"3,984s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 14:13:01,2018-10-19 14:13:02,"1,139s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 14:13:02,2018-10-19 14:13:05,"3,137s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 14:13:05,2018-10-19 14:13:06,"0,358s",PASSED
click,Chrome 69.0.3497.100,,2018-10-19 14:13:06,2018-10-19 14:13:07,"1,322s",PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-19 14:13:07,2018-10-19 14:13:07,"0,195s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-19 14:13:07,2018-10-19 14:13:08,"0,774s",PASSED
